ARPA_AQ_cod_staz,ARPA_AQ_nome_staz,Altitudine,Provincia,Citta,Longitudine,Latitudine
681,Moggio,1194,LC,Moggio,45.91278752030292,9.497538167653424
554,Saronno - via Santuario,212,VA,Saronno,45.626218960836, 9.04006309067821
583,Bergamo - via Meucci,249,BG,Bergamo,45.69103740547214,9.643650579461385
564,Erba - via Battisti,279,CO,Erba,45.80857380692296, 9.22177920448843
655,Darfo (aria),221,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
705,Milano - Pascal Città Studi,122,MI,Milano,45.47899606168744,9.235491038497502
576,Merate,279,LC,Merate,45.69795198970243,9.406190938686596
558,Busto Arsizio - Accam,206,VA,Busto Arsizio,45.58289429271772, 8.84216545670607
695,Ponti sul Mincio,113,MN,Ponti sul Mincio,45.41277169168634,10.68335734378683
609,Casirate d`Adda,108,BG,Casirate d'Adda,45.49822713394494,9.556232262351761
1266,Bertonico,65,LO,Bertonico,45.23349364130374,9.666250375296032
703,Schivenoglia,NA,MN,Schivenoglia,45.01687782075542, 11.0760946326404
654,Sarezzo - via Minelli,269,BS,Sarezzo,45.64962671224069,10.20509021883700
670,Mantova - S.Agnese,22,MN,Mantova,45.16056833010576,10.79556411370788
629,Crema - via XI febbraio,79,CR,Crema,45.36630907819433, 9.70394551361316
546,Magenta,137,MI,Magenta,45.46241579110661, 8.88021043312557
706,Lecco - Via Sora,272,LC,Lecco,45.86374884127965,9.399950344681852
1264,Sondrio - via Paribelli,290,SO,Sondrio,46.16785244066511, 9.87920992446990
687,Ferno,215,VA,Ferno,45.61924377994763,8.756970445453431
679,Valmadrera,247,LC,Valmadrera,45.84220726102254, 9.35165816612795
642,Pavia - via Folperti,77,PV,Pavia,45.19467609907785,9.164638300630086
565,Cantù - via Meucci,369,CO,Cantù,45.73083672267427,9.125734327022926
561,Como - viale Cattaneo,202,CO,Como,45.81504286011291,9.06697137484454)
674,Monza - via Machiavelli,162,MB,Monza,45.58026348442243,9.273573092713274
1374,Monza Parco,181,MB,Monza,45.60123219955139,9.27507265782848)
596,Osio Sotto,182,BG,Osio Sotto,45.62055567939559,9.611737821812373
669,Brescia - Villaggio Sereno,70,BS,Brescia,45.51303881865375, 10.1919418887793
542,Meda,222,MB,Meda,45.66176219189168,9.156643984551597
572,Morbegno - via Cortivacci,262,SO,Morbegno,46.13228296000373, 9.56617989398447
528,Milano - Verziere,116,MI,Milano,45.46334674066654, 9.19532480766885
685,Calusco d' Adda,273,BG,Calusco d'Adda,45.69042907854514,9.484260927647789
531,Limito,114,MI,Pioltello,45.48363035323249,9.327360033215145
1265,Lodi - S. Alberto,76,LO,Lodi,45.30278350309577, 9.49527369692632
571,Bormio,1225,SO,Bormio,46.46952397132585,10.37543275915903
673,Voghera - via Pozzoni,90,PV,Voghera,44.99954598914026,9.008437381815693
1297,Spinadesco,48,CR,Spinadesco,45.15046886985681, 9.93059647227232
677,Cremona - Via Fatebenefratelli,43,CR,Cremona,45.14254063221695,10.04383615836939
